loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.3426606357097626,0.44335004687309265,0.3426606357097626,0.28764331340789795,0.40430474281311035,0.28764331340789795,0.0005000000237487257
0.2986365258693695,0.41389715671539307,0.2986365258693695,0.28605836629867554,0.4037896394729614,0.28605836629867554,0.0005000000237487257
0.29439598321914673,0.4103419780731201,0.29439598321914673,0.2847713530063629,0.4012773633003235,0.2847713530063629,0.0005000000237487257
0.29167401790618896,0.40783029794692993,0.29167401790618896,0.28494128584861755,0.4005883038043976,0.28494128584861755,0.0005000000237487257
0.2896297872066498,0.40592384338378906,0.2896297872066498,0.28463345766067505,0.4009394347667694,0.28463345766067505,0.0005000000237487257
0.2876795530319214,0.40420570969581604,0.2876795530319214,0.2840529680252075,0.4005335569381714,0.2840529680252075,0.0005000000237487257
0.28618085384368896,0.4029514491558075,0.28618085384368896,0.2833752930164337,0.3993433713912964,0.2833752930164337,0.0005000000237487257
0.2848486602306366,0.40186014771461487,0.2848486602306366,0.28315553069114685,0.3988566994667053,0.28315553069114685,0.0005000000237487257
0.28371530771255493,0.40083566308021545,0.28371530771255493,0.28314679861068726,0.3991148769855499,0.28314679861068726,0.0005000000237487257
0.2828875482082367,0.40005362033843994,0.2828875482082367,0.28234443068504333,0.39829349517822266,0.28234443068504333,0.0005000000237487257
